date,buy_giavang,sell_giavang,buy_giavangonline,sell_giavangonline,buy_final,sell_final,buy_diff,sell_diff,any_diff
2014-05-13,35.69,35.72,35.68,35.73,35.68,35.73,True,True,True
2014-05-14,36.2,36.45,35.69,35.72,35.69,35.72,True,True,True
2014-05-15,36.3,36.5,36.2,36.45,36.2,36.45,True,True,True
2014-05-16,36.25,36.5,36.3,36.5,36.3,36.5,True,False,True
2014-05-17,36.35,36.55,36.25,36.5,36.25,36.5,True,True,True
2014-05-19,36.75,36.9,36.35,36.55,36.35,36.55,True,True,True
2014-05-20,37.0,37.15,36.75,36.9,36.75,36.9,True,True,True
2014-05-21,36.42,36.62,37.0,37.15,37.0,37.15,True,True,True
2014-05-22,36.35,36.55,36.42,36.62,36.42,36.62,True,True,True
2014-05-23,36.5,36.74,36.45,36.72,36.45,36.72,True,True,True
2014-05-24,36.6,36.85,36.55,36.9,36.55,36.9,True,True,True
2014-05-26,36.55,36.75,36.5,36.73,36.5,36.73,True,True,True
2014-05-27,36.55,36.73,36.57,36.75,36.57,36.75,True,True,True
2014-05-28,36.4,36.54,36.55,36.56,36.55,36.56,True,True,True
2014-05-29,36.35,36.45,36.34,36.44,36.34,36.44,True,True,True
2014-05-30,36.4,36.52,36.43,36.5,36.43,36.5,True,True,True
2014-05-31,36.36,36.46,36.38,36.48,36.38,36.48,True,True,True
2014-06-01,36.36,36.46,36.38,36.48,36.38,36.48,True,True,True
2014-06-02,36.24,36.32,36.26,36.33,36.26,36.33,True,True,True
2014-06-03,36.18,36.25,36.2,36.26,36.2,36.26,True,True,True
2014-06-04,35.94,36.06,35.93,36.04,35.93,36.04,True,True,True
2014-06-05,35.9,35.98,35.88,36.0,35.88,36.0,True,True,True
2014-06-06,36.1,36.32,36.09,36.35,36.09,36.35,True,True,True
2014-06-07,36.15,36.33,36.1,36.32,36.1,36.32,True,True,True
2014-06-09,36.2,36.35,36.15,36.36,36.15,36.36,True,True,True
2014-06-10,36.22,36.36,36.12,36.37,36.12,36.37,True,True,True
2014-06-11,36.55,36.7,36.52,36.67,36.52,36.67,True,True,True
2014-06-12,36.58,36.68,36.57,36.67,36.57,36.67,True,True,True
2014-06-13,36.73,36.83,36.75,36.85,36.75,36.85,True,True,True
2014-06-14,36.68,36.78,36.7,36.8,36.7,36.8,True,True,True
2014-06-16,36.62,36.72,36.65,36.75,36.65,36.75,True,True,True
2014-06-17,36.38,36.5,36.36,36.48,36.36,36.48,True,True,True
2014-06-18,36.45,36.57,36.43,36.55,36.43,36.55,True,True,True
2014-06-19,36.65,36.8,36.67,36.82,36.67,36.82,True,True,True
2014-06-20,36.75,37.0,36.9,37.1,36.9,37.1,True,True,True
2014-06-21,36.75,37.0,36.85,37.05,36.85,37.05,True,True,True
2014-06-23,36.65,36.8,36.67,36.82,36.67,36.82,True,True,True
2014-06-24,36.75,36.9,36.73,36.88,36.73,36.88,True,True,True
2014-06-25,36.68,36.81,36.7,36.83,36.7,36.83,True,True,True
2014-06-26,36.66,36.78,36.65,36.76,36.65,36.76,True,True,True
2014-06-27,36.7,36.82,36.71,36.83,36.71,36.83,True,True,True
2014-06-30,36.7,36.82,36.68,36.8,36.68,36.8,True,True,True
2014-07-01,36.82,36.95,36.8,36.93,36.8,36.93,True,True,True
2014-07-02,36.8,36.93,36.79,36.92,36.79,36.92,True,True,True
2014-07-03,36.78,36.88,36.79,36.89,36.79,36.89,True,True,True
2014-07-04,36.72,36.84,36.73,36.85,36.73,36.85,True,True,True
2014-07-05,36.72,36.82,36.72,36.84,36.72,36.84,False,True,True
2014-07-07,36.64,36.76,36.66,36.78,36.66,36.78,True,True,True
2014-07-08,36.71,36.83,36.72,36.84,36.72,36.84,True,True,True
2014-07-09,36.75,36.87,36.76,36.88,36.76,36.88,True,True,True
2014-07-10,36.87,37.0,36.86,36.98,36.86,36.98,True,True,True
2014-07-11,36.84,36.96,36.87,37.0,36.87,37.0,True,True,True
2014-07-14,36.75,36.87,36.74,36.86,36.74,36.86,True,True,True
2014-07-15,36.74,36.86,36.72,36.84,36.72,36.84,True,True,True
2014-07-16,36.66,36.78,36.64,36.76,36.64,36.76,True,True,True
2014-07-17,36.7,36.82,36.71,36.83,36.71,36.83,True,True,True
2014-07-18,36.74,36.86,36.76,36.88,36.76,36.88,True,True,True
2014-07-19,36.73,36.85,36.74,36.86,36.74,36.86,True,True,True
2014-07-21,36.73,36.85,36.72,36.84,36.72,36.84,True,True,True
2014-07-22,36.65,36.77,36.66,36.78,36.66,36.78,True,True,True
2014-07-24,36.6,36.72,36.59,36.71,36.59,36.71,True,True,True
2014-07-25,36.56,36.68,36.6,36.72,36.6,36.72,True,True,True
2014-07-26,36.62,36.82,36.56,36.68,36.56,36.68,True,True,True
2014-07-28,36.61,36.73,36.62,36.74,36.62,36.74,True,True,True
