timestamp,buy_1l,sell_1l
2009-07-22,21.06,21.12
2009-07-23,21.14,21.19
2009-07-24,21.09,21.14
2009-07-25,21.09,21.14
2009-07-26,21.09,21.14
2009-07-27,21.13,21.19
2009-07-28,21.13,21.19
2009-07-29,21.13,21.19
2009-07-30,21.13,21.19
2009-07-31,21.13,21.19
2009-08-01,21.13,21.19
2009-08-02,21.13,21.19
2009-08-03,21.13,21.19
2009-08-04,21.13,21.19
2009-08-05,21.13,21.19
2009-08-06,21.13,21.19
2009-08-07,21.13,21.19
2009-08-08,21.13,21.19
2009-08-09,21.13,21.19
2009-08-10,21.13,21.19
2009-08-11,21.13,21.19
2009-08-12,21.13,21.19
2009-08-13,21.13,21.19
2009-08-14,21.13,21.19
2009-08-15,21.13,21.19
2009-08-16,21.13,21.19
2009-08-17,21.13,21.19
2009-08-18,21.13,21.19
2009-08-19,21.13,21.19
2009-08-20,21.13,21.19
2009-08-21,21.13,21.19
2009-08-22,21.13,21.19
2009-08-23,21.13,21.19
2009-08-24,21.13,21.19
2009-08-25,21.13,21.19
2009-08-26,21.13,21.19
2009-09-21,22.09,22.14
2009-09-22,22.22,22.28
2009-09-23,22.27,22.32
2009-09-24,22.23,22.28
2009-09-25,22.07,22.13
2009-09-26,22.04,22.09
2009-09-27,22.04,22.09
2009-09-28,22.07,22.12
2009-09-29,22.09,22.14
2009-09-30,22.19,22.24
2009-10-01,22.25,22.3
2009-10-02,22.18,22.23
2009-10-03,22.22,22.27
2009-10-04,22.22,22.27
2009-10-05,22.27,22.32
2009-10-06,22.5,22.56
2009-10-07,22.92,22.99
2009-10-08,23.13,23.19
2009-10-09,23.04,23.09
2009-10-10,23.07,23.12
2009-10-11,23.07,23.12
2009-10-12,23.15,23.2
2009-10-13,23.49,23.55
2009-10-14,23.76,23.84
2009-10-15,23.57,23.64
2009-10-16,23.47,23.52
2009-10-17,23.57,23.62
2009-10-18,23.57,23.62
2009-10-19,23.65,23.7
2009-10-20,23.82,23.89
2009-10-21,23.74,23.79
2009-10-22,23.8,23.85
2009-10-23,23.89,23.94
2009-10-24,23.89,23.94
2009-10-25,23.89,23.94
2009-10-26,23.89,23.95
2009-10-27,23.8,23.86
2009-10-28,23.79,23.85
2009-10-29,23.72,23.78
2009-10-30,23.8,23.85
2009-10-31,23.82,23.88
2009-11-01,23.82,23.88
2009-11-02,23.89,23.95
2009-11-03,24.0,24.06
2009-11-04,24.65,24.75
2009-11-05,24.67,24.75
2009-11-06,25.26,25.36
2009-11-07,25.3,25.4
2009-11-08,25.3,25.4
2009-11-09,26.3,26.5
2009-11-10,26.55,26.75
2009-11-11,26.8,27.5
2009-11-12,25.5,26.0
2009-11-13,25.8,26.3
2009-11-14,26.3,26.8
2009-11-15,26.3,26.8
2009-11-16,26.5,26.8
2009-11-17,26.7,26.9
2009-11-18,26.97,27.17
2009-11-19,26.9,27.1
2009-11-20,27.26,27.36
2009-11-21,27.48,27.58
2009-11-22,27.48,27.58
2009-11-23,28.35,28.45
2009-11-24,28.47,28.57
2009-11-25,28.52,28.6
2009-11-26,28.6,28.68
2009-11-27,27.9,28.2
2009-11-28,28.15,28.25
2009-11-29,28.15,28.25
2009-11-30,27.9,28.0
2009-12-01,28.35,28.42
2009-12-02,28.65,28.7
2009-12-03,28.55,28.6
2009-12-04,28.49,28.53
2009-12-05,28.0,28.15
2009-12-06,28.0,28.15
2009-12-07,27.85,27.9
2009-12-08,28.0,28.06
2009-12-09,27.63,27.68
2009-12-10,27.32,27.37
2009-12-11,27.2,27.3
2009-12-12,26.75,26.9
2009-12-13,26.75,26.9
2009-12-14,26.84,26.92
2009-12-15,26.94,27.0
2009-12-16,27.05,27.13
2009-12-17,27.16,27.22
2009-12-18,26.8,26.86
2009-12-19,27.0,27.1
2009-12-20,27.0,27.1
2009-12-21,26.95,27.02
2009-12-22,26.61,26.68
2009-12-23,26.15,26.23
2009-12-24,26.43,26.5
2009-12-25,26.48,26.56
2009-12-26,26.55,26.6
2009-12-27,26.55,26.6
2009-12-28,26.8,26.88
2009-12-29,26.6,26.65
2009-12-30,26.41,26.48
2009-12-31,26.54,26.74
2010-01-01,26.54,26.74
2010-01-02,26.62,26.7
2010-01-03,26.62,26.7
2010-01-04,26.69,26.76
2010-01-05,26.88,26.96
2010-01-06,26.81,26.88
2010-01-07,26.91,26.98
2010-01-08,26.76,26.83
2010-01-09,26.85,26.93
2010-01-10,26.85,26.93
2010-01-11,27.12,27.18
2010-01-12,27.14,27.19
2010-01-13,26.87,26.93
2010-01-14,26.87,26.93
2010-01-15,26.82,26.88
2010-01-16,26.78,26.84
2010-01-17,26.78,26.84
2010-01-18,26.8,26.86
2010-01-19,26.81,26.87
2010-01-20,26.76,26.82
2010-01-21,26.54,26.6
2010-01-22,26.33,26.38
2010-01-23,26.36,26.42
2010-01-24,26.36,26.42
2010-01-25,26.45,26.5
2010-01-26,26.4,26.45
2010-01-27,26.39,26.44
2010-01-28,26.44,26.5
2010-01-29,26.38,26.43
2010-01-30,26.37,26.42
2010-01-31,26.37,26.42
